Time,Share,Company
31/01/2015,0,Sunbasket
28/02/2015,0,Sunbasket
31/03/2015,0,Sunbasket
30/04/2015,0,Sunbasket
31/05/2015,0.2,Sunbasket
30/06/2015,0.3,Sunbasket
31/07/2015,0.5,Sunbasket
31/08/2015,0.6,Sunbasket
30/09/2015,0.6,Sunbasket
31/10/2015,0.8,Sunbasket
30/11/2015,1.3,Sunbasket
31/12/2015,1.1,Sunbasket
31/01/2016,1.1,Sunbasket
29/02/2016,1.3,Sunbasket
31/03/2016,1.5,Sunbasket
30/04/2016,1.7,Sunbasket
31/05/2016,1.9,Sunbasket
30/06/2016,2.7,Sunbasket
31/07/2016,3.1,Sunbasket
31/08/2016,2.8,Sunbasket
30/09/2016,3.5,Sunbasket
31/10/2016,3.5,Sunbasket
30/11/2016,4,Sunbasket
31/12/2016,5.6,Sunbasket
31/01/2017,5.3,Sunbasket
28/02/2017,5.5,Sunbasket
31/03/2017,6.7,Sunbasket
30/04/2017,6.9,Sunbasket
31/05/2017,6.5,Sunbasket
30/06/2017,8.6,Sunbasket
31/07/2017,7.6,Sunbasket
31/08/2017,8.7,Sunbasket
30/09/2017,9,Sunbasket
31/10/2017,7.8,Sunbasket
30/11/2017,8.8,Sunbasket
31/12/2017,9.6,Sunbasket
31/01/2018,9.1,Sunbasket
28/02/2018,9.8,Sunbasket
31/03/2018,9.5,Sunbasket
30/04/2018,9.3,Sunbasket
31/05/2018,11.3,Sunbasket
30/06/2018,9.9,Sunbasket
31/07/2018,9.9,Sunbasket
31/08/2018,13.2,Sunbasket
31/01/2015,13.1,Plated
28/02/2015,13.2,Plated
31/03/2015,11.6,Plated
30/04/2015,12,Plated
31/05/2015,11.1,Plated
30/06/2015,8.2,Plated
31/07/2015,7.2,Plated
31/08/2015,6.8,Plated
30/09/2015,6.4,Plated
31/10/2015,5.7,Plated
30/11/2015,6,Plated
31/12/2015,6.3,Plated
31/01/2016,6.3,Plated
29/02/2016,6.7,Plated
31/03/2016,6.4,Plated
30/04/2016,5.6,Plated
31/05/2016,5.6,Plated
30/06/2016,5.6,Plated
31/07/2016,5.2,Plated
31/08/2016,4.9,Plated
30/09/2016,4.8,Plated
31/10/2016,5.5,Plated
30/11/2016,5.2,Plated
31/12/2016,5.4,Plated
31/01/2017,5.9,Plated
28/02/2017,5.9,Plated
31/03/2017,5.7,Plated
30/04/2017,5.8,Plated
31/05/2017,5.6,Plated
30/06/2017,5.3,Plated
31/07/2017,5.5,Plated
31/08/2017,5.4,Plated
30/09/2017,5.6,Plated
31/10/2017,5.9,Plated
30/11/2017,6.3,Plated
31/12/2017,6.7,Plated
31/01/2018,6.3,Plated
28/02/2018,6.5,Plated
31/03/2018,7.2,Plated
30/04/2018,7.4,Plated
31/05/2018,7.7,Plated
30/06/2018,8,Plated
31/07/2018,7.8,Plated
31/08/2018,7.5,Plated
31/01/2015,0,Marley Spoon
28/02/2015,0,Marley Spoon
31/03/2015,0,Marley Spoon
30/04/2015,0,Marley Spoon
31/05/2015,0,Marley Spoon
30/06/2015,0,Marley Spoon
31/07/2015,0,Marley Spoon
31/08/2015,0.1,Marley Spoon
30/09/2015,0.1,Marley Spoon
31/10/2015,0.1,Marley Spoon
30/11/2015,0.1,Marley Spoon
31/12/2015,0.1,Marley Spoon
31/01/2016,0.1,Marley Spoon
29/02/2016,0.1,Marley Spoon
31/03/2016,0.3,Marley Spoon
30/04/2016,0.3,Marley Spoon
31/05/2016,0.3,Marley Spoon
30/06/2016,0.4,Marley Spoon
31/07/2016,0.7,Marley Spoon
31/08/2016,0.9,Marley Spoon
30/09/2016,1,Marley Spoon
31/10/2016,0.9,Marley Spoon
30/11/2016,1,Marley Spoon
31/12/2016,1.1,Marley Spoon
31/01/2017,1.1,Marley Spoon
28/02/2017,0.9,Marley Spoon
31/03/2017,0.9,Marley Spoon
30/04/2017,1,Marley Spoon
31/05/2017,0.8,Marley Spoon
30/06/2017,1,Marley Spoon
31/07/2017,1.2,Marley Spoon
31/08/2017,1.2,Marley Spoon
30/09/2017,1.3,Marley Spoon
31/10/2017,1.2,Marley Spoon
30/11/2017,1.3,Marley Spoon
31/12/2017,1,Marley Spoon
31/01/2018,1.1,Marley Spoon
28/02/2018,1.1,Marley Spoon
31/03/2018,1.1,Marley Spoon
30/04/2018,1,Marley Spoon
31/05/2018,1,Marley Spoon
30/06/2018,1.1,Marley Spoon
31/07/2018,1.1,Marley Spoon
31/08/2018,1.3,Marley Spoon
31/01/2015,0.3,Home Chef
28/02/2015,0.8,Home Chef
31/03/2015,1.3,Home Chef
30/04/2015,1.5,Home Chef
31/05/2015,1.9,Home Chef
30/06/2015,1.7,Home Chef
31/07/2015,2.3,Home Chef
31/08/2015,2.3,Home Chef
30/09/2015,2.5,Home Chef
31/10/2015,2.7,Home Chef
30/11/2015,3.5,Home Chef
31/12/2015,2.6,Home Chef
31/01/2016,2.8,Home Chef
29/02/2016,3.2,Home Chef
31/03/2016,3.4,Home Chef
30/04/2016,4.9,Home Chef
31/05/2016,5.9,Home Chef
30/06/2016,6.1,Home Chef
31/07/2016,7.1,Home Chef
31/08/2016,8.8,Home Chef
30/09/2016,8.5,Home Chef
31/10/2016,10.1,Home Chef
30/11/2016,9.6,Home Chef
31/12/2016,10.2,Home Chef
31/01/2017,11.2,Home Chef
28/02/2017,11.5,Home Chef
31/03/2017,11.6,Home Chef
30/04/2017,11.5,Home Chef
31/05/2017,11.9,Home Chef
30/06/2017,11.5,Home Chef
31/07/2017,11.6,Home Chef
31/08/2017,10.8,Home Chef
30/09/2017,10.8,Home Chef
31/10/2017,12,Home Chef
30/11/2017,10.7,Home Chef
31/12/2017,12.3,Home Chef
31/01/2018,12.4,Home Chef
28/02/2018,12.9,Home Chef
31/03/2018,14.3,Home Chef
30/04/2018,15.3,Home Chef
31/05/2018,13.4,Home Chef
30/06/2018,15,Home Chef
31/07/2018,15.3,Home Chef
31/08/2018,14.5,Home Chef
31/01/2015,19,Hello Fresh
28/02/2015,17.4,Hello Fresh
31/03/2015,17.5,Hello Fresh
30/04/2015,21.5,Hello Fresh
31/05/2015,21.4,Hello Fresh
30/06/2015,18.1,Hello Fresh
31/07/2015,21.5,Hello Fresh
31/08/2015,18.8,Hello Fresh
30/09/2015,19.9,Hello Fresh
31/10/2015,21.4,Hello Fresh
30/11/2015,17.4,Hello Fresh
31/12/2015,20.5,Hello Fresh
31/01/2016,23.5,Hello Fresh
29/02/2016,20.8,Hello Fresh
31/03/2016,22.5,Hello Fresh
30/04/2016,22.9,Hello Fresh
31/05/2016,20.4,Hello Fresh
30/06/2016,22.6,Hello Fresh
31/07/2016,20.5,Hello Fresh
31/08/2016,20.8,Hello Fresh
30/09/2016,21.7,Hello Fresh
31/10/2016,20.5,Hello Fresh
30/11/2016,21.2,Hello Fresh
31/12/2016,21.9,Hello Fresh
31/01/2017,21.5,Hello Fresh
28/02/2017,24.6,Hello Fresh
31/03/2017,26,Hello Fresh
30/04/2017,26.8,Hello Fresh
31/05/2017,26.7,Hello Fresh
30/06/2017,29,Hello Fresh
31/07/2017,26.2,Hello Fresh
31/08/2017,28.2,Hello Fresh
30/09/2017,30.6,Hello Fresh
31/10/2017,30.7,Hello Fresh
30/11/2017,34.2,Hello Fresh
31/12/2017,31.4,Hello Fresh
31/01/2018,32.7,Hello Fresh
28/02/2018,33,Hello Fresh
31/03/2018,33.8,Hello Fresh
30/04/2018,32,Hello Fresh
31/05/2018,32.5,Hello Fresh
30/06/2018,31.9,Hello Fresh
31/07/2018,29.7,Hello Fresh
31/08/2018,31,Hello Fresh
31/01/2015,0.4,Green Chef
28/02/2015,0.9,Green Chef
31/03/2015,1.3,Green Chef
30/04/2015,1.4,Green Chef
31/05/2015,1.3,Green Chef
30/06/2015,1,Green Chef
31/07/2015,1,Green Chef
31/08/2015,1.6,Green Chef
30/09/2015,1.3,Green Chef
31/10/2015,1.5,Green Chef
30/11/2015,1.7,Green Chef
31/12/2015,1.7,Green Chef
31/01/2016,1.4,Green Chef
29/02/2016,1.7,Green Chef
31/03/2016,2.3,Green Chef
30/04/2016,2.3,Green Chef
31/05/2016,2.5,Green Chef
30/06/2016,2.9,Green Chef
31/07/2016,3,Green Chef
31/08/2016,3,Green Chef
30/09/2016,4.1,Green Chef
31/10/2016,4,Green Chef
30/11/2016,4.3,Green Chef
31/12/2016,3.9,Green Chef
31/01/2017,4,Green Chef
28/02/2017,4.2,Green Chef
31/03/2017,4.2,Green Chef
30/04/2017,3.8,Green Chef
31/05/2017,3.4,Green Chef
30/06/2017,3.4,Green Chef
31/07/2017,3.1,Green Chef
31/08/2017,3.1,Green Chef
30/09/2017,3.1,Green Chef
31/10/2017,3,Green Chef
30/11/2017,3.5,Green Chef
31/12/2017,2.8,Green Chef
31/01/2018,3.1,Green Chef
28/02/2018,2.9,Green Chef
31/03/2018,2.6,Green Chef
30/04/2018,2.6,Green Chef
31/05/2018,3,Green Chef
30/06/2018,2.5,Green Chef
31/07/2018,3.2,Green Chef
31/08/2018,3.7,Green Chef
31/01/2015,67.2,Blue Apron
28/02/2015,67.7,Blue Apron
31/03/2015,68.2,Blue Apron
30/04/2015,63.5,Blue Apron
31/05/2015,64.1,Blue Apron
30/06/2015,70.6,Blue Apron
31/07/2015,67.5,Blue Apron
31/08/2015,69.8,Blue Apron
30/09/2015,69.3,Blue Apron
31/10/2015,67.8,Blue Apron
30/11/2015,70.1,Blue Apron
31/12/2015,67.7,Blue Apron
31/01/2016,64.8,Blue Apron
29/02/2016,66.1,Blue Apron
31/03/2016,63.6,Blue Apron
30/04/2016,62.2,Blue Apron
31/05/2016,63.4,Blue Apron
30/06/2016,59.8,Blue Apron
31/07/2016,60.4,Blue Apron
31/08/2016,58.8,Blue Apron
30/09/2016,56.5,Blue Apron
31/10/2016,55.5,Blue Apron
30/11/2016,54.7,Blue Apron
